,Region1,Region1.1,Market,Market1
6,TIGRAY,TIGRAY,Wukiro,
12,AFAR,AFAR,Sebat killo ,
13,AMHARA,Amhara,Chuahit,
43,OROMIYA,Oromia,Ejere,
46,OROMIYA,OROMIYA,Shashe- mene,
47,OROMIYA,Oromia,Diksise,
52,OROMIYA,OROMIYA,Boreda,
54,OROMIYA,Oromia,Robe,
56,OROMIYA,OROMIYA,Negele- Borena ,
57,SOMALIE,Somali,Shinile,
58,SOMALIE,SOMALIE,Arere,
59,SOMALIE,Somali,Jigjiga,
60,SOMALIE,Somali,Hartshek,
61,SOMALIE,SOMALIE,Dolo,
62,SOMALIE,Somali,Moyale,
63,BENISHANGUL - GUMUZ,Benshangul-Gumaz,Mambook ,
64,BENISHANGUL - GUMUZ,BENISHANGUL - GUMUZ,Mender-  Sebat,
74,SNNP,"Southern Nations, Nationalities and Peoples",Alaba,
75,SNNP,"Southern Nations, Nationalities and Peoples",Awasa,
79,SNNP,SNNP,Welayita sodo ,
89,SNNP,"Southern Nations, Nationalities and Peoples",Shewa- Bench ,
92,SNNP,SNNP,Amaro Kele ,
93,SNNP,"Southern Nations, Nationalities and Peoples",Soyama,
94,SNNP,"Southern Nations, Nationalities and Peoples",Karate,
96,SNNP,SNNP,Tercha,
97,SNNP,SNNP,Besite- chere ,
100,ADDIS ABABA,ADDIS ABABA,Merkato,
101,ADDIS ABABA,ADDIS ABABA,Kera,
102,ADDIS ABABA,ADDIS ABABA,Zenebe work ,
103,ADDIS ABABA,ADDIS ABABA,Gergi,
104,ADDIS ABABA,ADDIS ABABA,Saris,
105,ADDIS ABABA,ADDIS ABABA,Kotebe,
106,ADDIS ABABA,ADDIS ABABA,Ferensay Legasion ,
107,ADDIS ABABA,ADDIS ABABA,yeka,
108,ADDIS ABABA,ADDIS ABABA,Asko,
109,ADDIS ABABA,Addis Abeba,Addisu- Gebeya ,
110,ADDIS ABABA,ADDIS ABABA,Efoyita Gebeya ,
111,ADDIS ABABA,ADDIS ABABA,Akaki,
113,GAMBELLA,Amhara,Shebo- kire ,
114,GAMBELLA,GAMBELLA,Meti,
115,HARARI,Harari People,Harari ,
